Timestamp,TargetID,ReactionTime,ErrorDistance,Velocity,CurrentDifficulty,HitScore,MotionVariance,TargetType
2026-04-14T16:24:21.271,1,0.5161,24.17,0.00,1,Great,26.6528,circle
2026-04-14T16:24:25.231,1001,2.6741,9.51,117.65,1,Miss,3192.4653,slider
2026-04-14T16:24:27.290,1002,1.9342,12.45,0.00,1,Perfect,0.0000,slider
2026-04-14T16:24:27.771,2,0.9140,33.73,0.00,1,Great,287.7778,circle
2026-04-14T16:24:29.595,3,0.3152,15.81,0.00,1,Perfect,218.7431,circle
2026-04-14T16:24:31.589,4,0.2995,9.06,0.00,1,Perfect,432.1875,circle
2026-04-14T16:24:33.731,5,0.0498,20.62,0.00,1,Great,797.5278,circle
2026-04-14T16:24:36.996,1003,0.7298,15.96,0.00,1,Perfect,1.4097,slider
2026-04-14T16:24:39.805,1004,1.4009,15.56,131.53,1,Perfect,0.3819,slider
2026-04-14T16:24:40.949,6,0.4609,53.15,0.00,1,Good,90.9653,circle
2026-04-14T16:24:43.626,1005,0.9815,47.43,58.82,2,Good,18.9097,slider
2026-04-14T16:24:46.135,1006,1.0100,31.97,62.50,2,Great,557.5972,slider
2026-04-14T16:24:46.926,7,0.0167,39.82,0.00,2,Good,142.6597,circle
2026-04-14T16:24:50.668,1007,1.3360,70.87,0.00,2,Good,1547.3194,slider
2026-04-14T16:24:52.446,1008,1.1640,217.26,62.50,2,Good,613.5486,slider
2026-04-14T16:24:53.873,8,0.3652,27.46,0.00,2,Great,1809.5486,circle
2026-04-14T16:24:55.826,9,0.1522,20.12,0.00,2,Great,299.9097,circle
2026-04-14T16:24:59.278,1009,1.0299,54.76,0.00,2,Good,0.8889,slider
2026-04-14T16:25:00.457,10,0.2870,34.93,0.00,2,Good,3388.3056,circle
2026-04-14T16:25:03.304,1010,0.9799,319.01,88.39,2,Good,264.6597,slider
2026-04-14T16:25:04.742,11,0.3178,43.42,0.00,2,Good,679.0417,circle
2026-04-14T16:25:07.603,12,0.3663,6.71,0.00,2,Perfect,0.0000,circle
2026-04-14T16:25:09.825,1011,0.8767,65.17,125.00,2,Good,4533.5764,slider
2026-04-14T16:25:13.232,1012,0.9514,47.34,0.00,2,Good,416.2639,slider
2026-04-14T16:25:14.903,1013,0.9063,20.56,0.00,2,Perfect,5.6319,slider
2026-04-14T16:25:17.049,1014,1.0482,43.72,0.00,2,Good,345.1944,slider
2026-04-14T16:25:18.044,13,0.3963,13.60,83.19,2,Perfect,1346.5278,circle
2026-04-14T16:25:20.503,14,0.5002,14.21,0.00,2,Perfect,129.8611,circle
2026-04-14T16:25:22.536,15,0.2929,27.80,0.00,2,Great,122.7639,circle
2026-04-14T16:25:33.544,1001,0.5961,7.57,125.00,1,Perfect,408.1597,slider
2026-04-14T16:25:35.340,1,0.3637,25.18,58.82,1,Great,260.3194,circle
2026-04-14T16:25:37.699,2,0.2970,18.97,0.00,1,Perfect,595.0764,circle
2026-04-14T16:25:40.199,1002,0.7194,50.60,0.00,1,Good,184.7639,slider
2026-04-14T16:25:41.872,3,0.0164,36.89,0.00,1,Good,795.1111,circle
2026-04-14T16:25:44.387,4,0.2791,27.20,0.00,1,Great,44.9097,circle
2026-04-14T16:25:47.881,1003,1.2972,69.71,0.00,1,Good,0.0000,slider
2026-04-14T16:25:48.818,5,0.3277,32.14,58.82,1,Great,709.4931,circle
2026-04-14T16:25:51.036,6,0.3337,13.45,125.00,1,Perfect,78.1319,circle
2026-04-14T16:25:53.339,7,0.3819,16.64,0.00,1,Perfect,0.1875,circle
2026-04-14T16:25:55.645,8,0.4101,8.94,0.00,1,Perfect,32.7431,circle
2026-04-14T16:25:58.538,1004,1.0693,27.74,0.00,2,Great,44.9097,slider
2026-04-14T16:26:00.183,9,0.0158,5.10,0.00,2,Perfect,4.5972,circle
2026-04-14T16:26:03.166,1005,1.0521,65.43,0.00,2,Good,21.2639,slider
2026-04-14T16:26:04.796,1006,0.9042,110.41,235.29,3,Good,609.7222,slider
2026-04-14T16:26:06.997,10,0.6361,17.46,0.00,3,Great,15.3194,circle
2026-04-14T16:26:09.341,1007,1.0949,78.23,0.00,3,Good,22242.1944,slider
2026-04-14T16:26:11.242,1008,0.7766,48.74,0.00,3,Good,1379.7153,slider
2026-04-14T16:26:13.092,11,0.4282,18.03,187.50,3,Great,250.8056,circle
2026-04-14T16:26:15.797,1009,0.9944,53.58,1529.41,3,Good,883.3194,slider
2026-04-14T16:26:17.800,1010,0.8698,175.34,0.00,3,Good,160977.4097,slider
2026-04-14T16:26:21.206,1011,2.0027,31.69,529.41,3,Good,51900.6667,slider
2026-04-14T16:26:21.929,12,0.5568,17.03,58.82,3,Great,222.8542,circle
2026-04-14T16:26:26.946,1012,3.6000,999.00,0.00,3,Miss,0.0000,slider
2026-04-14T16:26:29.155,1013,3.6000,999.00,0.00,3,Miss,0.0000,slider
2026-04-14T16:26:31.370,1014,3.6000,999.00,0.00,3,Miss,0.0000,slider
2026-04-14T16:26:33.563,1015,3.6000,999.00,0.00,2,Miss,142.7639,slider
2026-04-14T16:26:34.715,1016,2.2155,155.04,428.24,2,Good,97727.8264,slider
2026-04-14T16:26:36.776,1017,2.1954,15.16,364.43,2,Good,5729.4375,slider
2026-04-14T16:26:37.907,13,0.4275,34.54,0.00,2,Good,84.1944,circle
2026-04-14T16:38:38.499,1,1.2208,5.39,0.00,1,Perfect,14.1597,circle
2026-04-14T16:38:39.477,2,0.3972,22.67,0.00,1,Great,12.9653,circle
2026-04-14T16:38:41.817,3,0.3996,10.44,0.00,1,Perfect,0.9097,circle
2026-04-14T16:38:45.104,1001,1.2749,19.19,0.00,2,Perfect,1.6389,slider
2026-04-14T16:38:46.152,4,0.5663,7.07,0.00,2,Perfect,1.7431,circle
2026-04-14T16:38:48.399,5,0.4835,13.04,0.00,2,Perfect,0.0764,circle
2026-04-14T16:38:50.625,6,0.5151,4.24,0.00,3,Perfect,1.2222,circle
2026-04-14T16:38:54.435,1002,1.4745,27.96,0.00,3,Good,24.9653,slider
2026-04-14T16:38:55.895,7,0.1014,4.12,0.00,3,Perfect,0.3056,circle
2026-04-14T16:38:57.206,8,0.6838,17.00,0.00,4,Good,0.6875,circle
2026-04-14T16:39:01.055,1003,2.7000,999.00,0.00,4,Miss,3991.6528,slider
2026-04-14T16:39:03.014,1004,1.4885,12.20,58.82,4,Great,50.2639,slider
2026-04-14T16:39:04.275,9,1.5000,52.00,0.00,4,Miss,6.1875,circle
2026-04-14T16:39:07.687,1005,2.7000,999.00,0.00,4,Miss,0.0000,slider
2026-04-14T16:39:08.680,10,1.5000,52.00,0.00,4,Miss,0.0000,circle
